CLIENTE;NRO. VA21;POS. VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;DIAS DE DEMORA;TIEMPO EMISION / ENTREGA;NRO. VA01;POS. VA01;FECHA EMISION VA01;RESPONDIDO;NO RESPONDIDO;RESPONDIDO AT;RESPONDIDO FT;dDIAS DEMORA;dDIAS LIBERACION SOLPED;dDIAS RESPUESTA;dDIAS PROCESAMIENTO ;iLIBERACION SOLPED;iRESPUESTA;iPROCESAMIENTO;CLASIFICACION
00374 TERMINAL PUNTA COLORADA;4000006112;10;ZPIN;03-Alquiler Grua 80T;;0;10;4;29/1/2026;DSUAREZ;1042103;SUBC. GRÚA;1;Servicios;CUMPLIDO;MR01;1;8/10/2025;17/1/2026;enero;10132847;10;1;8/10/2025;8/10/2025;C26;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;12;0;113;;;113;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006217;10;ZPIN;04-Subcontrato Tunel;;0;10;4;22/12/2025;DSUAREZ;1042077;SUBC. TUNELEADO;1;Servicios;CUMPLIDO;MR01;1;6/11/2025;15/1/2026;enero;10135277;10;1;6/11/2025;6/11/2025;C26;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;46;;;46;;COMPRAS ABASTECIMIENTO
00372 UTE 372 GEO POSCO II;4000006287;10;ZPIN;04 - PLANCHA VIBRADO;;20;10;4;4/12/2025;GLUNA;1012888;PLANCHA VIBRADORA COMPACTADORA 7HP;3;Materiales genericos;CUMPLIDO;U003;1;19/11/2025;5/1/2026;enero;10136296;10;1;19/11/2025;19/11/2025;C10;;0;;0;;;;;;;;0;3;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;15;;;15;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006297;10;ZPIN;04 - Cotizacion RDC;;4;10;4;25/2/2026;DSUAREZ;1012831;RDC100 - PARA RELLENO;1000;Materiales genericos;CUMPLIDO;MR01;1;22/11/2025;15/2/2026;febrero;10136610;10;1;22/11/2025;22/11/2025;C18;;0;;0;;;;;;;;0;1000;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;10;0;95;;;95;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006302;10;ZPIN;SUBC ESTUDIO DE SUEL;;20;10;4;19/1/2026;AFORTUNA;1013006;ESTUDIO DE SUELOS;1;Servicios;CUMPLIDO;MR01;1;28/11/2025;9/1/2026;enero;10137023;10;1;28/11/2025;28/11/2025;C26;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;10;0;52;;;52;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006345;10;ZPIN;CONSULTORIA DE PALEO;;0;10;4;30/12/2025;AFORTUNA;1035446;SERVICIO DE PALEONTOLOGIA XMES;8;Servicios;CUMPLIDO;MR01;1;12/12/2025;5/1/2026;enero;10138176;10;1;12/12/2025;12/12/2025;C26;;0;;0;;;;;;;;0;8;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;18;;;18;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006364;10;ZPIN;PROVISION CAÑOS PVC;;24;10;4;19/1/2026;MREYNA;1012779;CAÑO PVC SCH-80 Ø1 1/4 IEC61386-21/22;1500;Materiales genericos;CUMPLIDO;MR01;1;19/12/2025;20/1/2026;enero;10138763;10;1;19/12/2025;19/12/2025;C09;;0;;0;;;;;;;;0;1500;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;31;;;31;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006368;10;ZPIN;PI CONT RESIDUOS;;0;10;4;16/1/2026;RTELLO;1035384;ALQ CONTENEDORES RESIDUOS C/TAPA X UN;4;Servicios;CUMPLIDO;MR01;1;23/12/2025;3/1/2026;enero;10138935;10;1;23/12/2025;23/12/2025;C25;;0;;0;;;;;;;;0;4;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;13;0;24;;;24;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006376;10;ZPIN;PI CRUCE TELEDIRIGID;;0;10;3;13/2/2026;RTELLO;1042362;SERV CRUCE TELEDIRIGIDO RN151 S DETALLE;1;Servicios;CUMPLIDO;MR01;1;29/12/2025;22/1/2026;enero;10139299;10;1;29/12/2025;29/12/2025;C26;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;22;0;46;;;46;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006381;10;ZPIN;PI SOLDADURA LINEA R;;0;10;4;15/1/2026;ASABATINO;1042083;"Soldadura LR - Caño 24""Ø X70 2 CC 9.52";3806;Servicios;CUMPLIDO;MR01;1;30/12/2025;10/1/2026;enero;10139416;10;1;30/12/2025;30/12/2025;C26;;0;;0;;;;;;;;0;3806;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;5;0;16;;;16;;COMPRAS ABASTECIMIENTO
