CLIENTE;NRO. SOLPED;POS. SOLPED;REPARTOS;TIPO SOLPED;OPERADOR SOLPED;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;TIEMPO EMISION / ENTREGA;FECHA CUMPLIMIENTO FINAL UNIFICADA;COMPROMETIDOS;ENTREGADOS;NO ENTREGADOS;ENTREGADOS AT;ENTREGADOS FT;DIAS DE DEMORA;CLASIFICACION
00008 ABASTECIMIENTO;10113824;10;1;NB;EJUAREZ;1004561;CUBIERTA 24.00 R35;21;Materiales Stock;CUMPLIDO;MM01;1;21/1/2025;12/5/2025;mayo;21/1/2025;21/1/2025;C50;4500093342;10;3200;1;WVENTURINI;11/2/2025;19/2/2025;12/5/2025;30/6/2026;C50;SANTILLI RUEDAS SLU;21;0;0;21;5000168412;9/4/2026;3000;1;6;10/5/2025;LBARTON;;;0;0;;;;;;;;5000135373;0;FGORGONA;11/6/2025;10/6/2025;;0;;0;21;8;1;-2;334;0;0;0;0;0;0;10/6/2025;1;1;;;1;332;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10117290;10;1;NB;EJUAREZ;1002200;CORREA DE MOTOR;3;Materiales Stock;CUMPLIDO;MR01;1;12/3/2025;21/5/2025;mayo;12/3/2025;12/3/2025;C29;4500095835;30;2200;1;RPEREZ;25/3/2025;25/3/2025;21/5/2025;21/5/2025;C29;RATTO HNOS SA CFIA;3;0;0;3;5000132617;16/5/2025;2200;1;1;16/5/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;13;0;1;-5;0;0;0;0;0;0;70;16/5/2025;1;1;;1;;;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10117379;10;1;NB;EJUAREZ;1002200;CORREA DE MOTOR;1;Materiales Stock;CUMPLIDO;MM01;5;13/3/2025;22/5/2025;mayo;13/3/2025;13/3/2025;C29;4500095836;20;MM08;1;RPEREZ;25/3/2025;25/3/2025;22/5/2025;22/5/2025;G05;AGRONORTE S.R.L.;1;0;0;1;5000128134;27/3/2025;MM08;2;1;26/3/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;12;0;5;-57;1;0;0;0;0;0;70;26/3/2025;1;1;;1;;;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10117846;10;1;NB;EJUAREZ;1001885;BOLSAS RESIDUOS XUN 102X130 VERDE;700;Materiales Stock;CUMPLIDO;MR01;1;21/3/2025;5/5/2025;mayo;21/3/2025;21/3/2025;C17;4500095810;10;2200;1;GJULIANI;21/3/2025;21/3/2025;18/4/2025;18/4/2025;C17;FASTER BAGS ECOLOGY SRL;700;0;0;700;5000128566;1/4/2025;2200;1;1;1/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-16;-17;0;0;0;0;0;0;45;1/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10117847;10;1;NB;EJUAREZ;1001935;DISCO 114x7x22,23C D TYROLITOASECUR x UN;100;Materiales Stock;CUMPLIDO;MR01;1;15/5/2025;23/5/2025;mayo;21/3/2025;21/3/2025;C27;4500095813;10;2200;1;AESCUDERO;21/3/2025;21/3/2025;3/4/2025;28/5/2025;C27;FERRETERA SAN LUIS;100;0;0;100;5000134030;30/5/2025;2200;1;1;28/5/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-49;55;2;0;0;0;0;0;8;28/5/2025;1;1;;;1;7;COMPRAS SEDE
00008 ABASTECIMIENTO;10118038;10;1;NB;EJUAREZ;1002340;BULON 5/8 X 21/2;28;Materiales Stock;CUMPLIDO;MR01;5;26/3/2025;26/5/2025;mayo;26/3/2025;26/3/2025;G05;4500096536;20;2001;1;HROLDAN;4/4/2025;4/4/2025;26/5/2025;26/5/2025;C03;FINNING ARGENTINA S.A.;28;0;0;28;5000129941;16/4/2025;2001;2;1;16/4/2025;ALANDAVIDEA;;;0;0;;;;;;;;5000129941;0;ALANDAVIDEA;16/4/2025;16/4/2025;;0;;0;9;0;5;-40;0;0;0;0;0;0;61;16/4/2025;1;1;;1;;;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10118058;10;1;NB;EJUAREZ;1034448;ENTREDIENTES VOLVO 480;10;Materiales Stock;CUMPLIDO;MR01;1;26/3/2025;26/5/2025;mayo;26/3/2025;26/3/2025;C04;4500096530;10;2200;1;HROLDAN;4/4/2025;4/4/2025;26/5/2025;18/6/2025;C04;ESCANDINAVIA DEL PLATA SA;10;0;0;10;5000136166;20/6/2025;2200;1;1;20/6/2025;LNASUTI;;;0;0;;;;;;;;;0;;;;;0;;0;9;0;1;25;0;0;0;0;0;0;61;20/6/2025;1;1;;;1;25;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10118159;10;1;NB;EJUAREZ;1001891;PANOABSORVENTE PARAHIDROCARBUROXPAQ100;19;Materiales Stock;CUMPLIDO;MM01;1;27/3/2025;12/5/2025;mayo;27/3/2025;27/3/2025;C17;4500096516;20;2200;1;MALVAREZ;4/4/2025;4/4/2025;14/4/2025;14/4/2025;C13;GILIGROUP S.A.S.;19;0;0;19;5000129772;15/4/2025;2200;1;2;11/4/2025;AITURRIETA;;;0;0;;;;;;;;;0;;;;;0;;0;8;0;-27;-3;4;0;0;0;0;0;46;11/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118509;10;1;NB;EJUAREZ;1001885;BOLSAS RESIDUOS XUN 102X130 VERDE;1100;Materiales Stock;CUMPLIDO;MM01;1;1/4/2025;16/5/2025;mayo;1/4/2025;1/4/2025;C17;4500096931;10;2200;1;MALVAREZ;10/4/2025;10/4/2025;30/4/2025;30/4/2025;C17;FASTER BAGS ECOLOGY SRL;1100;0;0;1100;5000130813;25/4/2025;2200;1;1;25/4/2025;AITURRIETA;;;0;0;;;;;;;;;0;;;;;0;;0;9;0;-15;-5;0;0;0;0;0;0;45;25/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118510;10;1;NB;EJUAREZ;1001888;BOLSAS RESIDUOS XUN 102X130 NEGRA;900;Materiales Stock;CUMPLIDO;MM01;1;1/4/2025;16/5/2025;mayo;1/4/2025;1/4/2025;C17;4500096930;10;2200;1;MALVAREZ;10/4/2025;10/4/2025;30/4/2025;30/4/2025;C17;FASTER BAGS ECOLOGY SRL;900;0;0;900;5000130814;25/4/2025;2200;1;1;25/4/2025;AITURRIETA;;;0;0;;;;;;;;;0;;;;;0;;0;9;0;-15;-5;0;0;0;0;0;0;45;25/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118626;10;1;NB;EJUAREZ;1001952;TRAPO LIMPIO (BOLSAX10KG) XUN;44;Materiales Stock;CUMPLIDO;MR01;1;3/4/2025;5/5/2025;mayo;3/4/2025;3/4/2025;C27;4500096455;10;2200;1;AESCUDERO;4/4/2025;4/4/2025;22/4/2025;22/4/2025;C27;MONJE CAROLINA MARIA DE LUJAN;44;0;0;44;5000129347;10/4/2025;2200;1;1;10/4/2025;ALANDAVIDEA;;;0;0;;;;;;;;;0;;;;;0;;0;1;0;-12;-12;0;0;0;0;0;0;32;10/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118658;10;1;NB;EJUAREZ;1002053;CAMPERA 2 PIEL T. XXL;11;Materiales Stock;CUMPLIDO;MM01;1;4/4/2025;5/5/2025;mayo;4/4/2025;4/4/2025;C28;4500096450;10;2200;1;GJULIANI;4/4/2025;4/4/2025;18/4/2025;18/4/2025;C28;GILIGROUP S.A.S.;11;0;0;11;5000129209;8/4/2025;2200;1;1;8/4/2025;AITURRIETA;;;0;0;;;;;;;;;0;;;;;0;;0;0;0;-16;-10;0;0;0;0;0;0;31;8/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118801;10;1;NB;EJUAREZ;1002610;FILTRO AIRE SECUNDARIO;8;Materiales Stock;CUMPLIDO;MR01;1;7/4/2025;2/5/2025;mayo;7/4/2025;7/4/2025;F04;4500097147;30;2200;1;RPEREZ;15/4/2025;15/4/2025;2/5/2025;2/5/2025;F06;RATTO HNOS SA CFIA;8;0;0;8;5000131062;29/4/2025;2200;2;2;28/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;8;0;1;-4;1;0;0;0;0;0;25;28/4/2025;1;1;;1;;;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10118857;10;1;ZSNB;MLARRETA;1001953;CEPILLO TRENZADO PIPELINE 175X6X22 BUJE;28;Materiales Stock;CUMPLIDO;MM01;1;7/4/2025;7/5/2025;mayo;7/4/2025;7/4/2025;C17;4500097294;30;2200;2;MALVAREZ;16/4/2025;16/4/2025;30/4/2025;30/4/2025;C05;LACIAR LEANDRO ADOLFO;28;0;0;28;5000130819;25/4/2025;2200;1;3;23/4/2025;AITURRIETA;;;0;0;;;;;;;;;0;;;;;0;;0;9;0;-6;-7;2;0;0;0;0;0;30;23/4/2025;1;1;;1;;;COMPRAS SEDE
00008 ABASTECIMIENTO;10118882;10;1;NB;EJUAREZ;1002360;UNA BALDE;21;Materiales Stock;CUMPLIDO;MR01;1;13/5/2025;30/5/2025;mayo;8/4/2025;8/4/2025;G04;4500100976;50;2200;2;HROLDAN;6/6/2025;6/6/2025;;16/8/2025;C29;ESCANDINAVIA DEL PLATA SA;21;0;0;21;5000137159;1/7/2025;2200;1;2;1/7/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;59;0;-739401;0;0;0;0;0;0;0;17;1/7/2025;1;1;;;1;32;COMPRAS EQUIPOS
00008 ABASTECIMIENTO;10118885;10;1;NB;EJUAREZ;1002971;FILTRO DE TRANSMISION CAT;5;Materiales Stock;CUMPLIDO;MR01;1;8/4/2025;5/5/2025;mayo;8/4/2025;8/4/2025;F03;4500096854;10;2200;1;RPEREZ;10/4/2025;11/4/2025;;5/5/2025;F03;FINNING ARGENTINA S.A.;5;0;0;5;5000130052;17/4/2025;2000;1;1;17/4/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;0;;0;2;1;-739376;0;0;0;0;0;0;0;27;17/4/2025;1;1;;1;;;COMPRAS EQUIPOS
