CLIENTE;NRO. VA01/VA21;POS VA01/VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;CANTIDAD TOTAL RECEPCIONADA;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTIDAD TOTAL PENDIENTE RECEP.;NRO. RECEPCION;FECHA RECEPCION;TIPO DE ITEM;ESTADO ITEM;PROVEEDOR;CENTRO;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;Q RECEP. DE OC;FECHA SELLO;LIBERACION SOLPED;LIBERACIÓN OC;PLAZO ENTREGA EXCEDIDO;ENTREGA DEL PROVEEDOR;REGISTRO DE RECEPCION;PICKING;EXPEDICIÓN;TRASLADO;NUMERO DE RESERVA;Período de certificación;Estado Servicio;Estado Certificación;Grupo de Compra Definitivo
"00001 GENERAL SEDE&#160;";1000024687;10;ZPAN;GESTIONA CRIS DEBUON;;0;;;;FDIAZ;1013146;SERVICIO DE VIGILANCIA DIURNA XHS;27000;27003;27000;0;-3;5000172467;11/5/2026;Servicios;CUMPLIDO;SEGURIDAD Y RESGUARDO SRL;MR01;15/5/2026;22/2/2023;10046040;10;1;22/2/2023;23/2/2023;C24;4500038553;10;2001;1;VBARRA;13/3/2023;1/5/2026;C24;46;11/5/2026;1;5;-43;40;0;0;0;0;0;Sin aclaración;Vencido con cant pendiente a recep;;C24
"00001 GENERAL SEDE&#160;";1000049899;10;ZPAN;GESTIONA CRIS DEBUON;;0;;;;CMORENO;1022651;SERVICIO LIMPIEZA VIDRIOS X MES;24;26;24;0;-2;5000176136;8/6/2026;Servicios;CUMPLIDO;AM GASTRONOMÍA Y SERVICIOS SRL;MR01;10/7/2026;18/6/2024;10100386;10;1;18/6/2024;18/6/2024;C24;4500078027;10;2001;1;MPITTIA;25/6/2024;10/7/2026;C24;26;8/6/2026;0;1;1;-32;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C24
"00001 GENERAL SEDE&#160;";1000049899;20;ZPAN;GESTIONA CRIS DEBUON;;0;;;;CMORENO;1022652;SERVICIO LIMPIEZA SEDE X MES;24;28;24;0;-4;5000176136;8/6/2026;Servicios;CUMPLIDO;AM GASTRONOMÍA Y SERVICIOS SRL;MR01;10/7/2026;18/6/2024;10100386;20;1;18/6/2024;18/6/2024;C24;4500078027;20;2001;1;MPITTIA;25/6/2024;10/7/2026;C24;33;8/6/2026;0;1;1;-32;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C24
"00001 GENERAL SEDE&#160;";1000049899;30;ZPAN;GESTIONA CRIS DEBUON;;0;;;;CMORENO;1022653;SERVICIO LIMPIEZA SEDE BS AS X MES;24;28;24;0;-4;5000176136;8/6/2026;Servicios;CUMPLIDO;AM GASTRONOMÍA Y SERVICIOS SRL;MR01;10/7/2026;18/6/2024;10100386;30;1;18/6/2024;18/6/2024;C24;4500078027;30;2001;1;MPITTIA;25/6/2024;10/7/2026;C24;32;8/6/2026;0;1;1;-32;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C24
"00001 GENERAL SEDE&#160;";1000050271;10;ZPAN;RENOVACION RECARGA D;;0;;;;CMORENO;1013092;PROVISION GAS A GRANEL PROPANO;10000;9515;10000;0;485;5000178486;26/6/2026;Servicios;CUMPLIDO PARCIAL;ITALGAS S.A.;MR01;30/7/2026;28/6/2024;10100842;10;1;28/6/2024;28/6/2024;C24;4500079119;10;2001;1;MPITTIA;12/7/2024;30/7/2026;C24;27;26/6/2026;0;18;-375;342;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C24
"00001 GENERAL SEDE&#160;";1000066666;10;ZPAN;PM 101 617 SERV ARCH;;0;;;;DYANEZ;1034248;SERV.ALMACENAJE ARCHIVO CUSTODIA X CAJA;2052;2055;2052;0;-3;5000172105;7/5/2026;Servicios;CUMPLIDO;CUST DE ARCHIVOS SAN JUAN SRL;MM01;13/5/2026;13/5/2025;10121308;10;1;13/5/2025;13/5/2025;C24;4500099023;10;2001;1;JESPARZA;14/5/2025;13/5/2026;C24;15;7/5/2026;0;0;1;-6;0;0;0;0;0;Sin aclaración;Vencido con cant pendiente a recep;;C24
"00001 GENERAL SEDE&#160;";1000069479;10;ZPAN;Todoplaga;;0;;;;GCAROSSO;1013139;SS CONTROL DE PLAGAS XUN;12;12;12;0;0;5000176142;8/6/2026;Servicios;CUMPLIDO;CEPEDA LEANDRO ESTEBAN;MR01;30/7/2026;1/7/2025;10125031;10;1;1/7/2025;1/7/2025;C25;4500103553;10;2001;1;MPITTIA;14/7/2025;30/7/2026;C25;14;8/6/2026;0;0;1;-52;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C25
"00001 GENERAL SEDE&#160;";1000070842;10;ZPAN;POLIZA TODO RIESGO O;;0;;;;NLAFORNARO;1012959;POLIZA TODO RIESGO OPERATIVO MSA;1;1;1;0;0;5000140862;5/8/2025;Servicios;CUMPLIDO;SAN CRISTOBAL S.M. DE SEGUROS GENER;MR01;13/7/2026;24/7/2025;10126836;10;1;24/7/2025;24/7/2025;C16;4500104595;10;2001;1;JESPARZA;25/7/2025;13/7/2026;C16;1;5/8/2025;0;3;1;-342;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C16
"00001 GENERAL SEDE&#160;";1000070844;10;ZPAN;POLIZA TODO RIESGO O;;0;;;;NLAFORNARO;1012959;POLIZA TODO RIESGO OPERATIVO MMSA;1;1;1;0;0;5000140775;5/8/2025;Servicios;CUMPLIDO;SAN CRISTOBAL S.M. DE SEGUROS GENER;MM01;13/7/2026;24/7/2025;10126838;10;1;24/7/2025;24/7/2025;C16;4500105229;10;2001;1;JESPARZA;4/8/2025;13/7/2026;C16;1;5/8/2025;0;0;1;-342;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C16
"00001 GENERAL SEDE&#160;";1000070880;10;ZPAN;CAUCION TANQUE DE CO;;0;;;;NLAFORNARO;1012957;POLIZA RC TANQUE 3733911;1;1;1;0;0;5000146897;25/9/2025;Servicios;CUMPLIDO;FEDERACION PATRONAL SEG. S.A.;MR01;13/7/2026;24/7/2025;10126876;10;1;24/7/2025;24/7/2025;C16;4500109321;10;2001;1;JESPARZA;25/9/2025;13/7/2026;C16;1;25/9/2025;0;0;1;-291;0;0;0;0;0;Sin aclaración;En curso - Próximo a vencer;;C16
