CLIENTE;NRO. VA01/VA21;POS VA01/VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;DIAS DE DEMORA SAP;TIEMPO EMISION / ENTREGA;FECHA CUMPLIMIENTO FINAL UNIFICADA;CLI;CARACTER DE GC;OPERADOR PICKING ROSARIO;OPERADOR PICKING SJ;dGESTION OC;dPLAZO DE ENTREGA;dREGISTRO DE RECEPCION;dPICKING;dEXPEDICION;LIBERACION SOLPED;GESTION OC CS;COLOCACION OC CS;LIBERACION OC CS;ENTREGA DEL PROVEEDOR CS;PLAZO DE ENTREGA EXCEDIDO CS;GESTION OC SEDE;COLOCACION OC SEDE;LIBERACION OC SEDE;ENTREGA DEL PROVEEDOR SEDE;PLAZO DE ENTREGA EXCEDIDO SEDE;GESTION OC EQUIPOS;COLOCACION OC EQUIPOS;LIBERACION OC EQUIPOS;ENTREGA DEL PROVEEDOR EQUIPOS;PLAZO DE ENTREGA EXCEDIDO EQUIPOS;CARACTER ALMACEN RECEPCION;REGISTRO DE RECEPCION ALMACEN ROSARIO;REGISTRO DE RECEPCION ALMACEN SAN JUAN;CADENA DE SUMINISTRO;ALMACEN ;COMPRAS ABASTECIMIENTO;COMPRAS EQUIPOS
"00001 GENERAL SEDE&#160;";1000065932;70;ZPAN;PM 101 614 PM art.LI;;0;;;;DYANEZ;1012841;ESCOBILLON CEPILLO TIPO BARRENDERO DE 80;6;Materiales genericos;CUMPLIDO;MM01;1;29/4/2025;13/5/2025;mayo;10120354;70;1;29/4/2025;30/4/2025;C17;4500098843;10;2001;2;MALVAREZ;12/5/2025;12/5/2025;13/5/2025;13/5/2025;C17;PRANAMAR S.R.L.;6;0;0;6;5000132409;14/5/2025;2001;1;1;14/5/2025;AITURRIETA;;8000069392;6;1;AITURRIETA;14/5/2025;14/5/2025;;;;;;0;;;;;;;;;;;;;;;;;;1;;14/5/2025;00001;SEDE;0;0;-2;-1;0;0;;;;;;;;2;;;;1;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000065932;130;ZPAN;PM 101 614 PM art.LI;;0;;;;DYANEZ;1012841;AROMATIZADOR AUTOMATICO PARA PILAS X UNI;8;Materiales genericos;CUMPLIDO;MM01;1;29/4/2025;13/5/2025;mayo;10120354;130;1;29/4/2025;30/4/2025;C17;4500098296;40;2001;1;MALVAREZ;2/5/2025;2/5/2025;12/5/2025;16/5/2025;C17;PRANAMAR S.R.L.;8;0;0;8;5000132591;15/5/2025;2001;1;4;15/5/2025;AITURRIETA;;8000069021;8;2;AITURRIETA;6/5/2025;6/5/2025;;;;;;0;;;;;;;;;;;;;;;;;;2;;15/5/2025;00001;SEDE;0;0;-3;-4;0;-9;;;;;;;;3;;;;4;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000066088;10;ZPAN;CAFE MAGIN;;0;;;;MCHAMORRO;1012823;CAFE EN GRANO XKG maguin;25;Materiales genericos;CUMPLIDO;MR01;1;2/5/2025;22/5/2025;mayo;10120549;10;1;2/5/2025;2/5/2025;C17;4500098435;10;2001;1;GJULIANI;6/5/2025;6/5/2025;20/5/2025;20/5/2025;C17;MUNDO CAFE SRL;25;0;0;25;5000133959;29/5/2025;2001;1;1;29/5/2025;ASIGNORELLI;;;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;7;;29/5/2025;00001;SEDE;;;-8;1;0;;;;;;;;;8;;;;;;;;;;GESTION ROSARIO;;;;;1;
"00001 GENERAL SEDE&#160;";1000066273;110;ZPAN;PM 101 615 ART. LIBR;;0;;;;DYANEZ;1016964;RESALTADOR AMARILLO PUNTA CHANFLEADA;12;Materiales Stock S/Devol;CUMPLIDO;MM01;1;6/5/2025;20/5/2025;mayo;10120753;110;1;6/5/2025;6/5/2025;C17;4500098657;20;2001;1;MALVAREZ;8/5/2025;8/5/2025;15/5/2025;22/5/2025;C17;AGUDO DOHMEN MARIA ROMINA;12;0;0;12;5000133145;21/5/2025;2001;1;1;21/5/2025;FGONZALEZ;;;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;1;;21/5/2025;00001;SEDE;;;-2;-3;0;;;;;;;;;2;;;;3;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000066273;210;ZPAN;PM 101 615 ART. LIBR;;0;;;;DYANEZ;1009571;REGLA PLASTICA 30 CM;5;Materiales usuales;CUMPLIDO;MM01;1;6/5/2025;20/5/2025;mayo;10120753;210;1;6/5/2025;6/5/2025;C17;4500098657;70;2001;1;MALVAREZ;8/5/2025;8/5/2025;15/5/2025;22/5/2025;C17;AGUDO DOHMEN MARIA ROMINA;5;0;0;5;5000133145;21/5/2025;2001;2;1;21/5/2025;FGONZALEZ;;;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;1;;21/5/2025;00001;SEDE;;;-2;-3;0;;;;;;;;;2;;;;3;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000067726;10;ZPAN;PM 101 620 . ALIMENT;;0;;;;DYANEZ;1010728;CAFE INSTANTANEO X170GRS;15;Materiales usuales;CUMPLIDO;MM01;1;28/5/2025;18/6/2025;junio;10122635;10;1;28/5/2025;28/5/2025;C17;4500101793;20;2001;2;MALVAREZ;18/6/2025;18/6/2025;25/6/2025;25/6/2025;C17;LA NOBLEZA SRL;15;0;0;15;5000136378;24/6/2025;2001;2;1;19/6/2025;AITURRIETA;;8000071748;15;1;AITURRIETA;24/6/2025;24/6/2025;;;;;;0;;;;;;;;;;;;;;;;;;1;;24/6/2025;00001;SEDE;0;0;-2;-8;5;0;;;;;;;;2;;;;8;;;;;;GESTION SAN JUAN;;4;;1;1;
"00001 GENERAL SEDE&#160;";1000067777;80;ZPAN;PM 101 622 PM art.LI;;0;;;;DYANEZ;1012841;DESODORANTE DE PISO LAVANDA O MARINA X5l;10;Materiales genericos;CUMPLIDO;MM01;1;29/5/2025;12/6/2025;junio;10122703;80;1;29/5/2025;29/5/2025;C17;4500100751;90;2001;1;MALVAREZ;4/6/2025;4/6/2025;11/6/2025;11/6/2025;C17;CAFE AMERICA MAYORISTA SA;5;5;0;10;5000136378;24/6/2025;2001;1;2;19/6/2025;AITURRIETA;;8000071004;10;2;AITURRIETA;9/6/2025;9/6/2025;;;;;;0;;;;;;;;;;;;;;;;;;7;;24/6/2025;00001;SEDE;0;0;-8;0;5;-15;;;;;;;;8;;;;;;;;;;GESTION SAN JUAN;;4;;1;1;
"00001 GENERAL SEDE&#160;";1000068508;90;ZPAN;Pm 101 627 ROPA Y EP;;0;;;;DYANEZ;1011708;BUZO ALGODON AZUL OSCURO C LOGO T S;1;Materiales usuales;CUMPLIDO;MM01;1;11/6/2025;30/6/2025;junio;10123768;90;1;11/6/2025;11/6/2025;C28;4500101924;10;2001;1;GJULIANI;23/6/2025;23/6/2025;27/6/2025;4/7/2025;C28;LACIAR LEANDRO ADOLFO;1;0;0;1;5000137643;4/7/2025;2001;1;1;3/7/2025;AITURRIETA;;8000072411;1;1;AITURRIETA;4/7/2025;4/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;3;;4/7/2025;00001;SEDE;0;0;-4;-5;1;0;;;;;;;;4;;;;5;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000068508;100;ZPAN;Pm 101 627 ROPA Y EP;;0;;;;DYANEZ;1011709;BUZO ALGODON AZUL OSCURO C LOGO T L;1;Materiales usuales;CUMPLIDO;MM01;1;11/6/2025;30/6/2025;junio;10123768;100;1;11/6/2025;11/6/2025;C28;4500101924;20;2001;1;GJULIANI;23/6/2025;23/6/2025;27/6/2025;4/7/2025;C28;LACIAR LEANDRO ADOLFO;1;0;0;1;5000137643;4/7/2025;2001;2;1;3/7/2025;AITURRIETA;;8000072411;1;1;AITURRIETA;4/7/2025;4/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;3;;4/7/2025;00001;SEDE;0;0;-4;-5;1;0;;;;;;;;4;;;;5;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000068508;110;ZPAN;Pm 101 627 ROPA Y EP;;0;;;;DYANEZ;1011710;BUZO ALGODON AZUL OSCURO C LOGO T M;1;Materiales usuales;CUMPLIDO;MM01;1;11/6/2025;30/6/2025;junio;10123768;110;1;11/6/2025;11/6/2025;C28;4500101924;30;2001;1;GJULIANI;23/6/2025;23/6/2025;27/6/2025;4/7/2025;C28;LACIAR LEANDRO ADOLFO;1;0;0;1;5000137643;4/7/2025;2001;3;1;3/7/2025;AITURRIETA;;8000072411;1;1;AITURRIETA;4/7/2025;4/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;3;;4/7/2025;00001;SEDE;0;0;-4;-5;1;0;;;;;;;;4;;;;5;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000068623;10;ZPAN;Pm 101 628 GRIFERIA;;0;;;;DYANEZ;1012647;GRIFERIA FV 362.01 MINGITORIO CROMO;1;Materiales genericos;CUMPLIDO;MM01;1;13/6/2025;27/6/2025;junio;10123901;10;1;13/6/2025;13/6/2025;C19;4500102421;10;2001;1;VBARRA;27/6/2025;27/6/2025;7/7/2025;7/7/2025;C19;BALCARCE 54 S.A.;1;0;0;1;5000137352;2/7/2025;2001;1;1;1/7/2025;FGORGONA;;;1;1;FGORGONA;2/7/2025;;;;;;;0;;;;;;;;;;;;;;;;;;4;;2/7/2025;00001;SEDE;0;0;-5;-11;1;0;;;;;;;;5;;;;11;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000068623;20;ZPAN;Pm 101 628 GRIFERIA;;0;;;;DYANEZ;1012647;JUEGO GRIFERIA FV 207/B1 PARA BACHA CROM;1;Materiales genericos;CUMPLIDO;MM01;1;13/6/2025;27/6/2025;junio;10123901;20;1;13/6/2025;13/6/2025;C19;4500102421;20;2001;1;VBARRA;27/6/2025;27/6/2025;7/7/2025;7/7/2025;C19;BALCARCE 54 S.A.;1;0;0;1;5000137352;2/7/2025;2001;2;1;1/7/2025;FGORGONA;;;1;1;FGORGONA;2/7/2025;;;;;;;0;;;;;;;;;;;;;;;;;;4;;2/7/2025;00001;SEDE;0;0;-5;-11;1;0;;;;;;;;5;;;;11;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000068880;10;ZPAN;PM101 633 TAPA INODO;;0;;;;DYANEZ;1012649;ASIENTO INODORO FERRUM HDF TRAFUL BLANCO;6;Materiales genericos;CUMPLIDO;MM01;1;18/6/2025;2/7/2025;julio;10124201;10;1;18/6/2025;19/6/2025;C13;4500102981;10;2001;1;MALVAREZ;4/7/2025;4/7/2025;8/7/2025;8/7/2025;C13;KATSUDA GUSTAVO ALEJANDRO;6;0;0;6;5000138084;8/7/2025;2001;1;1;8/7/2025;AITURRIETA;;8000072635;6;1;AITURRIETA;8/7/2025;8/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;6;;8/7/2025;00001;SEDE;0;0;-7;-7;0;0;;;;;;;;7;;;;7;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000069194;10;ZPAN;PM 101 638 PM art.LI;;0;;;;DYANEZ;1012841;BOLSA DE RESIDUOS 45 X 60 CM x unidad;400;Materiales genericos;CUMPLIDO;MM01;1;25/6/2025;9/7/2025;julio;10124646;10;1;25/6/2025;25/6/2025;C17;4500102427;10;2001;1;MALVAREZ;27/6/2025;27/6/2025;7/7/2025;7/7/2025;C17;PRANAMAR S.R.L.;400;0;-398;400;5000137443;3/7/2025;2001;1;1;30/7/2025;AITURRIETA;;8000072324;400;1;AITURRIETA;3/7/2025;3/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;21;;3/7/2025;00001;SEDE;0;0;-22;1;-27;0;;;;;;;;22;;;;;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000069194;130;ZPAN;PM 101 638 PM art.LI;;0;;;;DYANEZ;1012841;REPUESTO AROMATIZANTE DE AMBIENTE P/PULV;15;Materiales genericos;CUMPLIDO;MM01;1;25/6/2025;9/7/2025;julio;10124646;130;1;25/6/2025;25/6/2025;C17;4500102427;20;2001;1;MALVAREZ;27/6/2025;27/6/2025;7/7/2025;7/7/2025;C17;PRANAMAR S.R.L.;15;0;-5;15;5000137443;3/7/2025;2001;2;1;30/7/2025;AITURRIETA;;8000072324;15;1;AITURRIETA;3/7/2025;3/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;21;;3/7/2025;00001;SEDE;0;0;-22;1;-27;0;;;;;;;;22;;;;;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000069194;140;ZPAN;PM 101 638 PM art.LI;;0;;;;DYANEZ;1012841;FREGONA ALGODÓN 225 GRS.;6;Materiales genericos;CUMPLIDO;MM01;1;25/6/2025;9/7/2025;julio;10124646;140;1;25/6/2025;25/6/2025;C17;4500102427;30;2001;1;MALVAREZ;27/6/2025;27/6/2025;7/7/2025;7/7/2025;C17;PRANAMAR S.R.L.;6;0;0;6;5000137443;3/7/2025;2001;3;1;30/7/2025;AITURRIETA;;8000072324;6;1;AITURRIETA;3/7/2025;3/7/2025;;;;;;0;;;;;;;;;;;;;;;;;;21;;3/7/2025;00001;SEDE;0;0;-22;1;-27;0;;;;;;;;22;;;;;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000070069;20;ZPAN;mercaderia;;0;;;;MCHAMORRO;1010741;YERBA XKG cbs;12;Materiales usuales;CUMPLIDO;MR01;1;11/7/2025;31/7/2025;julio;10125896;20;1;11/7/2025;11/7/2025;C17;4500105964;10;2001;1;GJULIANI;13/8/2025;13/8/2025;20/8/2025;20/8/2025;C17;TYNA SRL;12;0;0;12;5000142237;15/8/2025;2001;1;1;15/8/2025;FGORGONA;;;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;15;;15/8/2025;00001;SEDE;;;-16;-21;0;;;;;;;;;16;;;;21;;;;;;GESTION ROSARIO;;;;;1;
"00001 GENERAL SEDE&#160;";1000070725;10;ZPAN;PM 101 647 ALIMENTO;;0;;;;DYANEZ;1010728;CAFE INSTANTANEO X170GRS;25;Materiales usuales;CUMPLIDO;MM01;1;22/7/2025;5/8/2025;agosto;10126692;10;1;22/7/2025;22/7/2025;C17;4500104828;10;2001;1;MALVAREZ;29/7/2025;29/7/2025;5/8/2025;7/8/2025;C17;SUP. MAYORISTAS YAGUAR S.A.;25;0;0;25;5000141101;6/8/2025;2001;1;1;6/8/2025;AITURRIETA;;8000074122;25;1;AITURRIETA;6/8/2025;6/8/2025;;;;;;0;;;;;;;;;;;;;;;;;;1;;6/8/2025;00001;SEDE;0;0;-2;-3;0;0;;;;;;;;2;;;;3;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000070725;20;ZPAN;PM 101 647 ALIMENTO;;0;;;;DYANEZ;1010740;YERBA MATE EN SAQUITOS XCAJA;4;Materiales usuales;CUMPLIDO;MM01;1;22/7/2025;5/8/2025;agosto;10126692;20;1;22/7/2025;22/7/2025;C17;4500104828;20;2001;1;MALVAREZ;29/7/2025;29/7/2025;5/8/2025;7/8/2025;C17;SUP. MAYORISTAS YAGUAR S.A.;4;0;0;4;5000141101;6/8/2025;2001;2;1;6/8/2025;AITURRIETA;;8000074122;4;1;AITURRIETA;6/8/2025;6/8/2025;;;;;;0;;;;;;;;;;;;;;;;;;1;;6/8/2025;00001;SEDE;0;0;-2;-3;0;0;;;;;;;;2;;;;3;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000070725;30;ZPAN;PM 101 647 ALIMENTO;;0;;;;DYANEZ;1012823;EDULCORANTE LIQUIDO X 200 CC MARCA HILER;20;Materiales genericos;CUMPLIDO;MM01;1;22/7/2025;5/8/2025;agosto;10126692;30;1;22/7/2025;22/7/2025;C17;4500104828;30;2001;1;MALVAREZ;29/7/2025;29/7/2025;5/8/2025;7/8/2025;C17;SUP. MAYORISTAS YAGUAR S.A.;20;0;0;20;5000141101;6/8/2025;2001;3;1;6/8/2025;AITURRIETA;;8000074122;20;1;AITURRIETA;6/8/2025;6/8/2025;;;;;;0;;;;;;;;;;;;;;;;;;1;;6/8/2025;00001;SEDE;0;0;-2;-3;0;0;;;;;;;;2;;;;3;;;;;;GESTION SAN JUAN;;;;;1;
"00001 GENERAL SEDE&#160;";1000070725;50;ZPAN;PM 101 647 ALIMENTO;;0;;;;DYANEZ;1010733;LECHE EN POLVO DESCREMADA X800GR;8;Materiales usuales;CUMPLIDO;MM01;1;22/7/2025;5/8/2025;agosto;10126692;50;1;22/7/2025;22/7/2025;C17;4500104828;40;2001;1;MALVAREZ;29/7/2025;29/7/2025;5/8/2025;7/8/2025;C17;SUP. MAYORISTAS YAGUAR S.A.;8;0;0;8;5000141101;6/8/2025;2001;4;1;6/8/2025;AITURRIETA;;8000074122;8;1;AITURRIETA;6/8/2025;6/8/2025;;;;;;0;;;;;;;;;;;;;;;;;;1;;6/8/2025;00001;SEDE;0;0;-2;-3;0;0;;;;;;;;2;;;;3;;;;;;GESTION SAN JUAN;;;;;1;
