CLIENTE;NRO. VA21;POS. VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;DIAS DE DEMORA;TIEMPO EMISION / ENTREGA;NRO. VA01;POS. VA01;FECHA EMISION VA01;RESPONDIDO;NO RESPONDIDO;RESPONDIDO AT;RESPONDIDO FT;dDIAS DEMORA;dDIAS LIBERACION SOLPED;dDIAS RESPUESTA;dDIAS PROCESAMIENTO ;iLIBERACION SOLPED;iRESPUESTA;iPROCESAMIENTO;CLASIFICACION
00298 Añelo;4000005802;10;ZPIN;ANALISIS FISICOQUIMI;;0;10;1;6/1/2026;LCARRIL;1022295;ANALISIS FISICOQUIMICO DE AGUA;1;Servicios;CUMPLIDO;MR01;2;22/7/2025;12/8/2025;agosto;10126660;10;1;22/7/2025;22/7/2025;C25;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;147;0;168;;;168;;COMPRAS ABASTECIMIENTO
00007 COMERCIAL OF LICITACION;4000005818;10;ZPIN;38/25 -YPF Vinculaci;;0;10;4;8/8/2025;EPAONE;1022295;ESTUDIO DE SUELO;1;Servicios;CUMPLIDO;MR01;1;28/7/2025;4/8/2025;agosto;10127086;10;1;28/7/2025;28/7/2025;PCO;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;4;0;11;;;11;;SIN GC
00007 COMERCIAL OF LICITACION;4000005819;10;ZPIN;38/25 -YPF Vinculaci;;0;10;4;6/8/2025;EPAONE;1022295;AGUA PARA PRUEBA HIDRAULICA;1;Servicios;CUMPLIDO;MR01;1;28/7/2025;4/8/2025;agosto;10127091;10;1;28/7/2025;28/7/2025;PCO;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;2;0;9;;;9;;SIN GC
00007 COMERCIAL OF LICITACION;4000005820;10;ZPIN;38/25 -YPF Vinculaci;;0;10;4;4/8/2025;EPAONE;1022295;SERVICIO CAMION CISTERNA 30 M3;102;Servicios;CUMPLIDO;MR01;1;28/7/2025;4/8/2025;agosto;10127092;10;1;28/7/2025;28/7/2025;PCO;;0;;0;;;;;;;;0;102;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;7;;;7;;SIN GC
00007 COMERCIAL OF LICITACION;4000005825;10;ZPIN;25.37 - TR - OC Pta;;0;10;4;6/8/2025;NCARUSO;1001782;GASOIL en Lts x mes en Punta Colorada;150000;Materiales Stock;CUMPLIDO;MR01;1;29/7/2025;5/8/2025;agosto;10127143;10;1;29/7/2025;29/7/2025;PCO;;0;;0;;;;;;;;0;150000;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;1;0;8;;;8;;SIN GC
00007 COMERCIAL OF LICITACION;4000005829;10;ZPIN;42.25 Essential;;0;10;4;7/8/2025;JBAUTISTA;1011247;HORMIGON ELABORADO H25;1;Materiales usuales;CUMPLIDO;MR01;1;29/7/2025;15/8/2025;agosto;10127164;10;1;29/7/2025;29/7/2025;PCO;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;9;;;9;;SIN GC
00007 COMERCIAL OF LICITACION;4000005831;10;ZPIN;24.61 - PE HUCALITO;;25;10;4;4/8/2025;MBALAUZ;1012830;CEMENTO CPC40;1;Materiales genericos;CUMPLIDO;MR01;1;29/7/2025;1/8/2025;agosto;10127173;10;1;29/7/2025;29/7/2025;PCO;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;3;0;6;;;6;;SIN GC
00007 COMERCIAL OF LICITACION;4000005833;10;ZPIN;42.25 Essential;;0;10;4;8/8/2025;JBAUTISTA;1026044;SERVICIO DE VIANDA;1;Servicios;CUMPLIDO;MR01;1;30/7/2025;15/8/2025;agosto;10127212;10;1;30/7/2025;30/7/2025;PCO;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;9;;;9;;SIN GC
00007 COMERCIAL OF LICITACION;4000005843;10;ZPIN;38/25 -YPF Vinculaci;;0;10;4;4/8/2025;EPAONE;1012896;ELECTRODO  E-8010 Ø4mm x kg;2190;Materiales genericos;CUMPLIDO;MR01;1;31/7/2025;4/8/2025;agosto;10127334;10;1;31/7/2025;31/7/2025;PCO;;0;;0;;;;;;;;0;2190;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;4;;;4;;SIN GC
00007 COMERCIAL OF LICITACION;4000005849;10;ZPIN;NEWMONT-Adicionales;;0;10;4;13/8/2025;LAFFATATO;1011264;Geotextil no tejido de 300 Gr/m2;1;Materiales usuales;CUMPLIDO;MR01;1;4/8/2025;7/8/2025;agosto;10127642;10;1;4/8/2025;4/8/2025;PCO;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;6;0;9;;;9;;SIN GC
